                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 1.2076,                 2.4692,                 1.4528,                0.59064,                 0.8637,                0.85595,                0.61995,                 1.6525,                  1.063,                 1.3542,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 0.9914,                 2.0061,                  1.366,                0.58565,                0.86399,                0.85561,                0.62083,                 1.6615,                 1.0735,                 1.3618,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.87115,                 2.2381,                  1.132,                0.59052,                0.86667,                0.85501,                0.62082,                 1.6483,                 1.0733,                 1.3518,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.0832,                 2.1887,                 1.4836,                0.59793,                0.86667,                0.88803,                0.62731,                 1.6517,                 1.0938,                 1.3562,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.92887,                 1.6481,                 1.1229,                0.60723,                0.86667,                0.88802,                0.62731,                 1.6507,                 1.1014,                 1.3574,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.2234,                 2.4805,                 1.6236,                0.61055,                0.86667,                0.87512,                0.62676,                 1.6623,                 1.1229,                  1.367,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 0.8444,                 1.7846,                 1.1911,                0.62052,                    0.7,                0.87291,                0.62795,                 1.6615,                 1.1333,                 1.3699,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.1567,                 1.5519,                 1.3604,                0.62052,                    0.7,                0.87291,                0.62795,                 1.6615,                 1.1333,                 1.3699,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.97843,                 1.9056,                 1.1355,                0.77483,                   0.65,                0.86188,                0.61114,                 1.6686,                 1.1768,                 1.3789,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.89711,                 1.5357,                  1.211,                0.77483,                   0.65,                0.86188,                0.61114,                 1.6686,                 1.1768,                 1.3789,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.2922,                 2.4985,                 1.7134,                0.77119,                   0.65,                0.85531,                 0.6099,                 1.6812,                 1.2121,                 1.3858,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 1.0833,                 2.3391,                 1.5191,                0.77119,                   0.65,                0.85531,                 0.6099,                 1.6812,                 1.2121,                 1.3858,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 1.0587,                 1.8206,                 1.4723,                0.74589,                   0.65,                0.85514,                 0.6192,                 1.6803,                 1.2319,                 1.3835,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 1.1242,                 2.2139,                 1.5404,                0.74589,                   0.65,                0.85514,                 0.6192,                 1.6803,                 1.2319,                 1.3835,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.83464,                 1.4699,                 1.2103,                0.71049,                0.65473,                0.85534,                0.61104,                 1.6807,                 1.2738,                 1.3832,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 1.1528,                 1.8595,                 1.4506,                0.71049,                0.65473,                0.85534,                0.61104,                 1.6807,                 1.2738,                 1.3832,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.91843,                  1.671,                 1.3978,                0.70524,                 0.6685,                0.85545,                0.61336,                 1.7015,                 1.3025,                 1.3981,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.80106,                 1.2417,                 1.1405,                0.70524,                 0.6685,                0.85545,                0.61336,                 1.7015,                 1.3025,                 1.3981,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.99737,                 1.5272,                 1.2718,                0.70067,                0.67248,                0.85551,                0.61082,                 1.6703,                 1.3097,                 1.3778,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 1.2656,                 2.3498,                 1.5981,                0.70067,                0.67248,                0.85551,                0.61082,                 1.6703,                 1.3097,                 1.3778,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.97959,                 1.4334,                 1.2941,                0.69188,                0.66667,                0.85204,                0.60885,                 1.6807,                 1.3464,                 1.3837,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.81024,                 1.2602,                  1.214,                0.69188,                0.66667,                0.85204,                0.60885,                 1.6807,                 1.3464,                 1.3837,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                0.78164,                 1.3185,                 1.3426,                0.67238,                0.68913,                0.85241,                0.60751,                 1.6662,                 1.3778,                 1.3798,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.0574,                 1.2516,                 1.3105,                0.67238,                0.68913,                0.85241,                0.60751,                 1.6662,                 1.3778,                 1.3798,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.88716,                 2.1652,                 1.3033,                0.66428,                    0.7,                0.85262,                0.59109,                 1.6812,                 1.4122,                 1.3879,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.96219,                 1.4773,                 1.2011,                0.66428,                    0.7,                0.85262,                0.59109,                 1.6812,                 1.4122,                 1.3879,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.78396,                 1.1146,                 1.1731,                0.64698,                    0.7,                 0.8524,                 0.5836,                 1.6494,                 1.4475,                 1.3701,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.45788,                0.70338,                0.96922,                0.64698,                    0.7,                 0.8524,                 0.5836,                 1.6494,                 1.4475,                 1.3701,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.64685,                0.93531,                 1.0205,                0.67387,                0.69073,                0.85257,                0.56179,                 1.6249,                 1.4791,                 1.3648,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.80204,                0.83737,                 1.1667,                0.67387,                0.69073,                0.85257,                0.56179,                 1.6249,                 1.4791,                 1.3648,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.75766,                0.92575,                 1.0611,                0.68204,                0.66549,                0.76929,                0.48791,                  1.595,                 1.4894,                 1.3566,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.88002,                 1.8828,                 1.2773,                0.68204,                0.66549,                0.76929,                0.48791,                  1.595,                 1.4894,                 1.3566,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.84657,                 1.2215,                 1.2284,                0.67827,                   0.65,                0.76238,                0.47306,                 1.6217,                 1.5288,                 1.3844,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                  1.075,                0.98521,                 1.4513,                0.67827,                   0.65,                0.76238,                0.47306,                 1.6217,                 1.5288,                 1.3844,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.61284,                0.92502,                0.99461,                0.69172,                   0.65,                0.76251,                0.47229,                 1.6101,                 1.5454,                 1.3809,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.81889,                 0.9971,                 1.2685,                0.69172,                   0.65,                0.76251,                0.47229,                 1.6101,                 1.5454,                 1.3809,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.88521,                 1.4621,                 1.3611,                0.73609,                   0.65,                 0.7323,                0.43907,                 1.6228,                 1.6017,                  1.387,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.78689,                 1.6324,                  1.172,                0.73609,                   0.65,                 0.7323,                0.43907,                 1.6228,                 1.6017,                  1.387,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 0.6731,                0.72236,                 1.2456,                0.68327,                0.65151,                0.70529,                0.41424,                 1.6242,                 1.6216,                 1.3881,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.80278,                0.81115,                 1.2945,                0.68327,                0.65151,                0.70529,                0.41424,                 1.6242,                 1.6216,                 1.3881,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 0.8591,                0.83734,                 1.1561,                0.65654,                0.67661,                0.69629,                0.40609,                 1.5927,                 1.6341,                  1.381,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.97433,                 0.9678,                 1.3478,                0.65654,                0.67661,                0.69629,                0.40609,                 1.5927,                 1.6341,                  1.381,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.64637,                0.70009,                 1.1784,                0.65654,                0.67661,                0.69629,                0.40609,                 1.5927,                 1.6341,                  1.381,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.78504,                0.90184,                 1.2328,                 0.6906,                0.67146,                0.69636,                 0.4082,                 1.5779,                  1.675,                 1.3815,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.80043,                0.95201,                 1.1211,                 0.6906,                0.67146,                0.69636,                 0.4082,                 1.5779,                  1.675,                 1.3815,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.0986,                 1.4453,                 1.5875,                 0.6906,                0.67146,                0.69636,                 0.4082,                 1.5779,                  1.675,                 1.3815,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.94346,                 1.5005,                  1.374,                 0.7233,                0.50202,                0.69284,                0.40375,                 1.5855,                 1.7066,                 1.3913,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 0.8647,                 1.4546,                 1.2665,                 0.7233,                0.50202,                0.69284,                0.40375,                 1.5855,                 1.7066,                 1.3913,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.78121,                0.82735,                 1.1536,                 0.7233,                0.50202,                0.69284,                0.40375,                 1.5855,                 1.7066,                 1.3913,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.99689,                0.77735,                 1.5458,                0.85558,                0.48119,                0.67795,                0.37421,                 1.6107,                 1.7738,                  1.408,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 0.6348,                0.68085,                 1.0633,                0.85558,                0.48119,                0.67795,                0.37421,                 1.6107,                 1.7738,                  1.408,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.70048,                0.89375,                 1.0455,                0.85558,                0.48119,                0.67795,                0.37421,                 1.6107,                 1.7738,                  1.408,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.76907,                0.82328,                 1.1536,                0.85527,                0.47854,                0.67726,                0.37372,                 1.6415,                 1.8531,                 1.4252,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.62619,                0.65293,                  1.067,                0.85527,                0.47854,                0.67726,                0.37372,                 1.6415,                 1.8531,                 1.4252,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.66109,                0.68231,                 1.2162,                0.85527,                0.47854,                0.67726,                0.37372,                 1.6415,                 1.8531,                 1.4252,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.68435,                 0.9155,                 1.0812,                0.85192,                0.47747,                0.67714,                0.37589,                 1.7058,                  1.911,                 1.4468,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.73668,                 1.1093,                 1.1019,                0.85192,                0.47747,                0.67714,                0.37589,                 1.7058,                  1.911,                 1.4468,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.0425,                 1.7732,                 1.4056,                0.85192,                0.47747,                0.67714,                0.37589,                 1.7058,                  1.911,                 1.4468,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.64228,                 1.0957,                 1.1253,                0.84141,                0.48638,                0.56788,                0.28283,                 1.6546,                 1.9519,                 1.4199,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.97704,                 0.8659,                  1.429,                0.84141,                0.48638,                0.56788,                0.28283,                 1.6546,                 1.9519,                 1.4199,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                0.94815,                 1.2884,                  1.316,                0.84141,                0.48638,                0.56788,                0.28283,                 1.6546,                 1.9519,                 1.4199,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.59391,                0.63786,                 1.0747,                0.84033,                0.48537,                0.54131,                0.27389,                 1.7233,                 2.0004,                 1.4447,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.68661,                0.90502,                 1.0437,                0.84033,                0.48537,                0.54131,                0.27389,                 1.7233,                 2.0004,                 1.4447,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.72452,                0.59362,                  1.219,                0.84033,                0.48537,                0.54131,                0.27389,                 1.7233,                 2.0004,                 1.4447,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.72866,                0.55268,                 1.1409,                0.84021,                0.48256,                0.54721,                 0.2685,                 1.7743,                 1.9938,                 1.4647,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.63405,                0.73317,                 1.1276,                0.84021,                0.48256,                0.54721,                 0.2685,                 1.7743,                 1.9938,                 1.4647,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.68079,                0.65878,                 1.1116,                0.84021,                0.48256,                0.54721,                 0.2685,                 1.7743,                 1.9938,                 1.4647,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 0.8734,                  1.002,                 1.1844,                0.83367,                0.48814,                 0.5442,                0.26804,                 1.7376,                 2.0125,                 1.4482,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.58982,                0.74867,                 1.0841,                0.83367,                0.48814,                 0.5442,                0.26804,                 1.7376,                 2.0125,                 1.4482,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.72161,                0.72332,                 1.1804,                0.83367,                0.48814,                 0.5442,                0.26804,                 1.7376,                 2.0125,                 1.4482,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.51219,                0.50347,                 0.9737,                0.84247,                0.48003,                0.53436,                0.26405,                 1.7757,                 2.0554,                 1.4755,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.80749,                0.67159,                 1.1432,                0.84247,                0.48003,                0.53436,                0.26405,                 1.7757,                 2.0554,                 1.4755,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.76653,                0.82206,                 1.1969,                0.84247,                0.48003,                0.53436,                0.26405,                 1.7757,                 2.0554,                 1.4755,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                0.78339,                0.56559,                 1.2038,                0.84075,                0.48416,                0.53726,                0.26773,                  1.825,                 2.0845,                  1.502,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.56579,                0.72749,                 1.1084,                0.84075,                0.48416,                0.53726,                0.26773,                  1.825,                 2.0845,                  1.502,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                0.73585,                0.66171,                 1.1011,                0.84075,                0.48416,                0.53726,                0.26773,                  1.825,                 2.0845,                  1.502,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.75008,                0.79202,                 1.0498,                0.84075,                0.48416,                0.53726,                0.26773,                  1.825,                 2.0845,                  1.502,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 0.7895,                0.85675,                 1.3792,                0.83939,                0.48347,                0.53434,                0.28426,                 1.8328,                 2.0748,                 1.5036,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                0.99055,                0.92342,                 1.4796,                0.83939,                0.48347,                0.53434,                0.28426,                 1.8328,                 2.0748,                 1.5036,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.64873,                0.64172,                 1.0107,                0.83939,                0.48347,                0.53434,                0.28426,                 1.8328,                 2.0748,                 1.5036,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.45929,                0.52102,                0.88989,                0.83939,                0.48347,                0.53434,                0.28426,                 1.8328,                 2.0748,                 1.5036,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.71359,                0.69894,                0.99422,                 0.8364,                0.48473,                0.53535,                0.27788,                 1.8355,                 2.0282,                 1.4881,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.47707,                  0.458,                0.98664,                 0.8364,                0.48473,                0.53535,                0.27788,                 1.8355,                 2.0282,                 1.4881,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.55063,                0.43481,                 0.8875,                 0.8364,                0.48473,                0.53535,                0.27788,                 1.8355,                 2.0282,                 1.4881,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.43539,                0.45213,                0.89779,                 0.8364,                0.48473,                0.53535,                0.27788,                 1.8355,                 2.0282,                 1.4881,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.43927,                0.50741,                 0.9614,                0.84124,                0.46614,                0.55785,                 0.3054,                 1.7546,                 1.9546,                 1.4414,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.68969,                0.60346,                  1.048,                0.84124,                0.46614,                0.55785,                 0.3054,                 1.7546,                 1.9546,                 1.4414,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.51729,                0.48364,                0.90878,                0.84124,                0.46614,                0.55785,                 0.3054,                 1.7546,                 1.9546,                 1.4414,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.47577,                0.46361,                0.90891,                0.84124,                0.46614,                0.55785,                 0.3054,                 1.7546,                 1.9546,                 1.4414,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.55715,                0.49196,                  1.004,                0.83608,                0.46667,                0.60765,                 0.3397,                 1.7078,                 1.8748,                 1.4127,             2.3444e-06,             2.3444e-06,             2.3444e-06
